Property Address,Tree Location,Property Side,Species,Diameter in Inches,Tree Number
"202 SUMTER ST
Providence, RI
(41.795452521959, -71.4214325602829)",SUMTER ST,Front,Prunus spp.,3,1
"209 SUMTER ST
Providence, RI
(41.79552476396181, -71.42158097033827)",SUMTER ST,Front,Gleditsia triacanthos,3,1
"30 WARRINGTON ST
Providence, RI
(41.7963074289417, -71.41386809335778)",WARRINGTON ST,Front,Malus spp,3,1
"35 WARRINGTON ST
Providence, RI
(41.79633896498524, -71.41414997380379)",WARRINGTON ST,Front,Liquidambar syraciflua,3,1
"84 WARRINGTON ST
Providence, RI
(41.79568001516184, -71.41588318034488)",WARRINGTON ST,Front,Prunus spp.,3,1
"88 WARRINGTON ST
Providence, RI
(41.79563605630105, -71.41602317240924)",WARRINGTON ST,Front,Prunus serrulata 'Kwanzan',2,1
"91 WARRINGTON ST
Providence, RI
(41.79569314562282, -71.41622025265015)",WARRINGTON ST,Front,Empty Pit,0,1
"97 WARRINGTON ST
Providence, RI
(41.795627207331634, -71.41643024074669)",WARRINGTON ST,Front,Acer rubrum,3,1
"97 WARRINGTON ST
Providence, RI
(41.795627207331634, -71.41643024074669)",WARRINGTON ST,Front,Acer rubrum,3,2
"104 WARRINGTON ST
Providence, RI
(41.79546022085789, -71.41658314066672)",WARRINGTON ST,Front,Prunus cerasifera,3,1
